Nim, nim-2.0.8, https://wandbox.org/permlink/q3oxcgLngak19blh
Nim, nim-2.0.6, https://wandbox.org/permlink/VXK2FdwuG2u3ggfC
Nim, nim-2.0.4, https://wandbox.org/permlink/9dl1KGAxMaYucn78
Nim, nim-2.0.2, https://wandbox.org/permlink/PKGiPo5NRUhfpLCx
Nim, nim-2.0.0, https://wandbox.org/permlink/P75eSS57wXt5VYIN
Nim, nim-1.6.20, https://wandbox.org/permlink/DzVkEg8bpVp4AlzE
Nim, nim-1.6.18, https://wandbox.org/permlink/CPCU3oZm7IB9VypA
Nim, nim-1.6.14, https://wandbox.org/permlink/xzFNID65GUVpHwR3
Nim, nim-1.6.12, https://wandbox.org/permlink/Ogs824zwOhbwI8gl
Nim, nim-1.6.10, https://wandbox.org/permlink/SJxZCZ69Vt2V4NJ0
Nim, nim-1.6.8, https://wandbox.org/permlink/ad5C3WZ7dwPJRT5x
Nim, nim-1.6.6, https://wandbox.org/permlink/WEQMjQ6hIrVFPrbx
Nim, nim-1.6.4, https://wandbox.org/permlink/Opw2X9YdtyrfkJny
Nim, nim-1.6.0, https://wandbox.org/permlink/WrqSVzG5iP3gHmVZ
Nim, nim-1.4.8, https://wandbox.org/permlink/DAa3pBenzYbmdXc1
Nim, nim-1.4.6, https://wandbox.org/permlink/lnqIb6w2vMR4G3vm
Nim, nim-1.2.8, https://wandbox.org/permlink/FBlyrheLpSgRTe8k
Nim, nim-1.0.10, https://wandbox.org/permlink/71oVMpGVcepuJ6jv
OCaml, ocaml-5.2.0, https://wandbox.org/permlink/
OCaml, ocaml-4.14.2, https://wandbox.org/permlink/
OpenSSL, openssl-3.3.2, https://wandbox.org/permlink/
OpenSSL, openssl-1.1.1w, https://wandbox.org/permlink/
OpenSSL, openssl-1.0.2u, https://wandbox.org/permlink/JrcHyPBmLp9MFAJW
OpenSSL, openssl-0.9.8zh, https://wandbox.org/permlink/Dh8g6Exu2eKCO0oz
Pascal, fpc-3.2.2, https://wandbox.org/permlink/
Perl, perl-5.42.0, https://wandbox.org/permlink/kOnc30siteMAvCas
Perl, perl-5.40.0, https://wandbox.org/permlink/hiDi6y9vJPYFJfgu
Perl, perl-5.38.0, https://wandbox.org/permlink/9aKGhNI7itEv64xA
Perl, perl-5.36.0, https://wandbox.org/permlink/vHpBnkMuGY2JOSNK
Perl, perl-5.34.0, https://wandbox.org/permlink/0RVo6Usm7V9eqjDz
Perl, perl-5.33.8, https://wandbox.org/permlink/defIY7sUeNx97kkH
Perl, perl-5.32.1, https://wandbox.org/permlink/wpuO6KOMAtclhlSd
Perl, perl-5.30.3, https://wandbox.org/permlink/K0Sg5mFpup2ZxGlD
PHP, php-8.3.12, https://wandbox.org/permlink/
PHP, php-8.2.24, https://wandbox.org/permlink/
PHP, php-8.1.30, https://wandbox.org/permlink/
PHP, php-8.0.30, https://wandbox.org/permlink/m54ngILyxlRxifRi
PHP, php-7.4.33, https://wandbox.org/permlink/YAjIYq1uyPbP9Nwq
PHP, php-5.6.40, https://wandbox.org/permlink/UPYr9C3wold0HlAo
Pony, pony-0.58.5, https://wandbox.org/permlink/
Python, cpython-head, https://wandbox.org/permlink/
Python, cpython-2.7-head, https://wandbox.org/permlink/
Python, cpython-3.14.0, https://wandbox.org/permlink/XZGdW9yAIcLDG8iy
Python, cpython-3.13.8, https://wandbox.org/permlink/PatN53lxUiEnZ6be
Python, cpython-3.12.7, https://wandbox.org/permlink/
Python, cpython-3.11.10, https://wandbox.org/permlink/
Python, cpython-3.10.15, https://wandbox.org/permlink/
Python, cpython-3.9.20, https://wandbox.org/permlink/
Python, cpython-3.8.20, https://wandbox.org/permlink/
Python, cpython-3.7.17, https://wandbox.org/permlink/
Python, cpython-2.7.18, https://wandbox.org/permlink/FBxFEGVucE7abKZQ
Python, pypy-3.10-v7.3.17, https://wandbox.org/permlink/
Python, pypy-3.9-v7.3.16, https://wandbox.org/permlink/
Python, pypy-3.8-v7.3.11, https://wandbox.org/permlink/Q09MI3Kn3RCJe1Bn
Python, pypy-3.7-v7.3.9, https://wandbox.org/permlink/SBxOxNfk6DcHjZhn
Python, pypy-2.7-v7.3.17, https://wandbox.org/permlink/
R, r-4.4.1, https://wandbox.org/permlink/
Ruby, ruby-3.4.1, https://wandbox.org/permlink/B8R0ECVouWCsoiGF
Ruby, ruby-3.3.6, https://wandbox.org/permlink/BzAUD34YvupbcJ7h
Ruby, ruby-3.2.6, https://wandbox.org/permlink/NhaARCWJDE1PifFL
Ruby, ruby-3.1.6, https://wandbox.org/permlink/
Ruby, ruby-3.0.7, https://wandbox.org/permlink/K6JMUJYukQlgaBXA
