--- openjdk-head
2021-08-03 04:21, succeeded
2021-08-04 04:22, succeeded
2021-08-05 04:22, succeeded
--- openjdk-jdk-11+28
2021-08-03 04:21, succeeded
2021-08-04 04:22, succeeded
2021-08-05 04:22, succeeded
--- openjdk-jdk-10+23
2021-08-03 04:21, succeeded
2021-08-04 04:22, succeeded
2021-08-05 04:22, succeeded
--- openjdk-jdk-10+13
2021-08-03 04:21, succeeded
2021-08-04 04:22, succeeded
2021-08-05 04:22, succeeded
--- openjdk-jdk-9+181
2021-08-03 04:22, succeeded
2021-08-04 04:22, succeeded
2021-08-05 04:22, succeeded
--- openjdk-jdk-9+175
2021-08-03 04:22, succeeded
2021-08-04 04:22, succeeded
2021-08-05 04:22, succeeded
--- openjdk-jdk-9+155
2021-08-03 04:22, succeeded
2021-08-04 04:22, succeeded
2021-08-05 04:22, succeeded
--- openjdk-jdk8u121-b13
2021-08-03 04:22, succeeded
2021-08-04 04:22, succeeded
2021-08-05 04:22, succeeded
--- openjdk-jdk7u121-b00
2021-08-03 04:22, succeeded
2021-08-04 04:22, succeeded
2021-08-05 04:22, succeeded
